完結記念！期間限定受注製造　五等分の花嫁　全巻収納ボックス　二乃ver
鬼滅の刃 20　ポストカードセット付き特装版
完結記念！期間限定受注製造　五等分の花嫁　全巻収納ボックス　四葉ver
完結記念！期間限定受注製造　五等分の花嫁　全巻収納ボックス　一花ver
鬼滅の刃 20
スキップ・ビート! 45
聖☆おにいさん（18）
ダンジョン飯　9巻
完結記念！期間限定受注製造　五等分の花嫁　モノクロ複製原画　五人全員ver
SPY×FAMILY 4
プロミス・シンデレラ（7）
完結記念！期間限定受注製造　五等分の花嫁　モノクロ複製原画　四葉ver
ちはやふる（44）
完結記念！期間限定受注製造　五等分の花嫁　モノクロ複製原画　三玖ver
七つの大罪（41）
完結記念！期間限定受注製造　五等分の花嫁　モノクロ複製原画　五月ver
アルスラーン戦記（13）
るろうに剣心─明治剣客浪漫譚・北海道編─ 4
異世界に救世主として喚ばれましたが、アラサーには無理なので、ひっそりブックカフェ始めました。（2）
アクタージュ act-age 11
新しい上司はど天然 2
完結記念！期間限定受注製造　五等分の花嫁　モノクロ複製原画　二乃ver
きみにかわれるまえに
ハイキュー!! 43
古見さんは、コミュ症です。（17）
とんがり帽子のアトリエ（7）
DAYS（38）
BORUTO-ボルトー 11 -NARUTO NEXT GENERATIONS-
双亡亭壊すべし（17）
地縛少年　花子くん（13）
