鬼滅の刃 20　ポストカードセット付き特装版
完結記念！期間限定受注製造　五等分の花嫁　全巻収納ボックス　二乃ver
ハイキュー!! 43
完結記念！期間限定受注製造　五等分の花嫁　全巻収納ボックス　四葉ver
完結記念！期間限定受注製造　五等分の花嫁　全巻収納ボックス　一花ver
SPY×FAMILY 4
ダンジョン飯　9巻
スキップ・ビート! 45
聖☆おにいさん（18）
完結記念！期間限定受注製造　五等分の花嫁　モノクロ複製原画　五人全員ver
ちはやふる（44）
アルスラーン戦記（13）
七つの大罪（41）
完結記念！期間限定受注製造　五等分の花嫁　モノクロ複製原画　四葉ver
完結記念！期間限定受注製造　五等分の花嫁　モノクロ複製原画　三玖ver
古見さんは、コミュ症です。（17）
MAO（4）
DAYS（38）
完結記念！期間限定受注製造　五等分の花嫁　モノクロ複製原画　五月ver
BE BLUES！〜青になれ〜（39）
るろうに剣心─明治剣客浪漫譚・北海道編─ 4
双亡亭壊すべし（17）
ブルーロック（9）
トニカクカワイイ（11）
ゆびさきと恋々（2）
アクタージュ act-age 11
新しい上司はど天然 2
BORUTO-ボルトー 11 -NARUTO NEXT GENERATIONS-
地縛少年　花子くん（13）
春待つ僕ら（14）
